Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;7/10/2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024
Barbados;BRB;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,7989;0,7487;0,7777;0,8072;0,801;0,8144;0,851;0,8174;0,9526;0,945;0,9616;0,8206;0,78;0,8644;0,8019;0,8535;0,9083;0,8184;0,876;0,9727;0,8057;0,8904;0,8928;0,93;
Brunei Darussalam;BRN;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,521;4,766;3,9341;4,9499;4,4484;4,1307;7,3637;6,8498;8,9516;7,0626;6,0223;6,3834;6,3138;6,0902;6,4823;6,2993;6,8228;5,6684;6,3769;6,7265;8,406;7,873;7,4244;7,695;
Bhutan;BTN;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-10,5843;-10,5866;-10,5659;-10,5434;-10,5415;-10,3964;-10,2887;-10,2572;-10,2445;-10,0651;-9,9443;-9,7115;-9,7786;-9,6604;-9,6185;-9,428;-9,2707;-9,1122;-8,8446;-8,6801;-8,3577;-8,5241;-8,1129;-8,0756;
Botswana;BWA;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,7446;7,1652;6,7299;6,4996;6,4421;7,0989;6,9086;7,1418;7,4247;7,2401;7,0854;7,4893;6,6538;8,6067;9,7647;10,2096;9,327;9,6097;10,6126;9,349;7,6837;8,7266;9,5717;9,8918;
Central African Republic;CAF;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-159,8433;-159,4145;-160,4119;-159,2744;-159,9212;-159,1808;-159,1271;-158,1277;-158,1017;-158,7374;-158,1088;-154,1517;-154,1209;-158,0092;-160,0033;-157,0472;-151,7556;-148,4359;-148,0946;-148,2806;-147,8747;-147,7453;-147,3478;-147,8695;
Canada;CAN;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;763,4493;736,1422;790,1451;806,3755;793,1437;815,4007;794,7122;814,4029;784,1832;714,2194;763,7343;785,1391;765,925;778,5785;767,0432;800,0263;777,9594;790,4012;816,9648;801,5636;735,9258;742,0162;795,1517;750,9531;
Central Europe and the Baltics;CEB;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;843,3881765;860,9015532;837,8217443;867,854872;861,2642513;861,7289282;893,0879594;904,2440893;876,2766269;807,2279234;835,1442352;836,2311055;806,5265936;782,558162;772,4459594;788,1129044;790,735914;821,4139215;831,541724;809,3033629;761,0179649;812,0685372;796,5223372;;
Switzerland;CHE;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;57,4615;54,9013;50,7111;52,5951;50,4659;53,6142;54,8425;51,8385;53,1448;50,923;52,7394;47,5782;51,8713;53,3252;45,9092;50,4359;46,5413;47,0113;48,6611;44,203;43,704;46,2847;42,0702;44,6861;
Channel Islands;CHI;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;CHL;Total greenhouse gas emissions including LULUCF (Mt CO2e);EN.GHG.ALL.LU.MT.CE.AR5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,5937;4,6448;18,5487;9,1261;20,6057;22,6951;21,9474;41,7824;49,9675;42,1575;37,127;48,0522;58,0337;53,9572;49,4981;66,0949;57,4357;135,278;72,2183;80,9598;68,7797;62,6232;67,9249;64;
